# vendor regex	renderer/driver regex	severity	source	type	message id	allowed test/task regex	message regex	rationale	owner	added date	expiry/review date	max count
.*	.*	HIGH	APPLICATION	ERROR	99999	.*DiagnosticsContractsGlTest.*	must-survive	Synthetic message-ring retention contract; never emitted by production rendering.	diagnostics	2026-07-21	2027-07-21	1
NVIDIA Corporation	NVIDIA.*	MEDIUM	API	PERFORMANCE	131218	.*(GpuEffectsGlTest|LocalShadowsGlTest|RenderPipelineGlTest|PostProcessEffectsGlTest|SceneVisibilityGlTest|UiPipelineMatrixGlTest).*	Program/shader state performance warning: (?:Vertex|Geometry) shader in program \d+ is being recompiled based on GL state(?:\.|, and was not found in the disk cache)	NVIDIA legal shader-state specialization in the explicit program/state matrix.	rendering	2026-07-21	2027-01-21	96
NVIDIA Corporation	NVIDIA.*	MEDIUM	API	PERFORMANCE	131218	.*(runDemo(?:Resize)?Integration|runBloomIntegration|runAutoExposureIntegration|runDiagnostics(?:Resize)?Integration|runPreviewIntegration|runPreviewBenchmarks).*	Program/shader state performance warning: Vertex shader in program \d+ is being recompiled based on GL state(?:\.|, and was not found in the disk cache)	NVIDIA legal shader-state specialization during deterministic LearnOpenGl pipeline warmup, bounded for the five-round preview matrix.	rendering	2026-07-21	2027-01-21	120
NVIDIA Corporation	NVIDIA.*	MEDIUM	API	PERFORMANCE	131218	.*(runLocalShadowsIntegration|runPbr(?:Resize|Compatibility)?Integration|runPostProcessEffectsIntegration|runGltf(?:Resize|Skinning)?Integration|run(?:Zombie|CrouchWalk|PlayerSlie|PlayerWild)Integration|runGltfSceneScalability(?:Resize|Motion)?Integration|runSceneSubmissionAllocationIntegration|runShowcase(?:Stability|VfxMsaa|VfxAutoExposure)?Integration|runShowcasePerformanceBaseline).*	Program/shader state performance warning: (?:Vertex|Geometry) shader in program \d+ is being recompiled based on GL state(?:\.|, and was not found in the disk cache)	NVIDIA legal shader-state specialization during deterministic PBR, glTF or combined showcase warmup.	rendering	2026-07-21	2027-01-21	64
NVIDIA Corporation	NVIDIA.*	MEDIUM	API	PERFORMANCE	131218	.*(runMinimalIntegration|runAsyncIntegration|runStress(?:Triangle|Quad|Cube|IndexedCube|IndexedSsboCube)Integration).*	Program/shader state performance warning: Vertex shader in program \d+ is being recompiled based on GL state(?:\.|, and was not found in the disk cache)	NVIDIA legal shader-state specialization during a registered minimal, async or stress pipeline warmup.	rendering	2026-07-21	2027-01-21	32
NVIDIA Corporation	NVIDIA.*	MEDIUM	API	PERFORMANCE	131154	.*(UiDemoGlTest|GraphPreviewGlTest|runUi.*Integration|runModernUiIntegration|runMarkdownTextIntegration|runGltfSceneScalabilityResizeIntegration).*	(?:Pixel-path performance warning: )?Pixel transfer is synchronized with 3D rendering.*	Intentional correctness readback outside benchmark measurement windows.	ui/diagnostics	2026-07-21	2027-01-21	64
NVIDIA Corporation	NVIDIA.*	MEDIUM	API	PERFORMANCE	131218	.*runTextBenchmarks.*	Program/shader state performance warning: Vertex shader in program \d+ is being recompiled based on GL state(?:\.|, and was not found in the disk cache)	NVIDIA legal shader-state specialization during the text-effect matrix cold setup, before measured stable frames.	text/rendering	2026-08-09	2027-02-09	120
NVIDIA Corporation	NVIDIA.*	MEDIUM	API	PERFORMANCE	131218	.*runRender3dV023Integration.*	Program/shader state performance warning: Vertex shader in program \d+ is being recompiled based on GL state(?:\.|, and was not found in the disk cache)	NVIDIA legal shader-state specialization during the bounded v0.23 PBR queue, CSM and depth-resolve cold setup.	rendering	2026-08-18	2027-02-18	4
NVIDIA Corporation	NVIDIA.*	MEDIUM	API	PERFORMANCE	131218	.*(runRender3dShadowBudgetIntegration|runRender3dDynamicShadowIntegration).*	Program/shader state performance warning: Vertex shader in program \d+ is being recompiled based on GL state(?:\.|, and was not found in the disk cache)	NVIDIA legal shader-state specialization during the bounded v0.23.4 glTF, multi-atlas, culling and cache cold setup.	render3d/shadows	2026-08-22	2027-02-22	16
NVIDIA Corporation	NVIDIA.*	MEDIUM	API	PERFORMANCE	131218	.*(runRender3dShadow(?:Budget|Legacy)Performance(?:1080p|4k)|runRender3dShadowCullingBenchmarks).*	Program/shader state performance warning: Vertex shader in program \d+ is being recompiled based on GL state(?:\.|, and was not found in the disk cache)	NVIDIA legal shader-state specialization before the measured static v0.23.4 shadow-culling window.	render3d/performance	2026-08-22	2027-02-22	16
NVIDIA Corporation	NVIDIA.*	MEDIUM	API	PERFORMANCE	131218	.*runRender3dGtaoIntegration.*	Program/shader state performance warning: Vertex shader in program \d+ is being recompiled based on GL state(?:\.|, and was not found in the disk cache)	NVIDIA legal shader-state specialization during the bounded v0.23.2 GTAO depth and postprocess warmup.	render3d/gtao	2026-08-20	2027-02-20	12
